ID,開始時刻,完了時刻,メール,名前,最終変更時刻,"【製品案1】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 6万円 ｜ OS Android ｜ カメラ 標準","【製品案2】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【製品案3】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 8万円 ｜ OS Android ｜ カメラ 標準","【製品案4】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 8万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【製品案5】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 10万円 ｜ OS Android ｜ カメラ 高性能","【製品案6】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 標準",あなたの性別を教えてください。,現在使っているスマートフォンのOSはどちらですか？
24,2026-06-16 12:59:00,2026-06-16 13:04:13,anonymous,,,5,6,3,7,3,3,女性,Apple (iOS)
25,2026-06-16 12:59:00,2026-06-16 13:02:59,anonymous,,,6,7,5,6,4,2,男性,Android
26,2026-06-16 13:00:00,2026-06-16 13:06:13,anonymous,,,5,9,4,6,1,3,男性,Android
27,2026-06-16 13:07:00,2026-06-16 13:12:40,anonymous,,,5,8,5,7,2,2,その他・回答しない,Android
28,2026-06-16 13:10:00,2026-06-16 13:14:53,anonymous,,,5,9,4,8,1,4,男性,Apple (iOS)
29,2026-06-16 13:11:00,2026-06-16 13:12:47,anonymous,,,6,8,4,6,2,3,男性,Apple (iOS)
30,2026-06-16 13:14:00,2026-06-16 13:19:50,anonymous,,,3,7,3,3,2,1,女性,Android
31,2026-06-16 13:29:00,2026-06-16 13:30:10,anonymous,,,7,7,3,6,5,3,女性,Android
32,2026-06-16 13:36:00,2026-06-16 13:37:49,anonymous,,,4,8,5,9,5,4,男性,Apple (iOS)
33,2026-06-16 13:37:00,2026-06-16 13:41:28,anonymous,,,5,8,7,9,4,3,男性,Apple (iOS)
34,2026-06-16 13:40:00,2026-06-16 13:41:27,anonymous,,,6,10,6,8,4,3,女性,Android
35,2026-06-16 13:50:00,2026-06-16 13:56:37,anonymous,,,6,8,5,6,4,3,男性,Android
36,2026-06-16 13:52:00,2026-06-16 13:53:51,anonymous,,,6,8,6,9,3,7,男性,Android
37,2026-06-16 14:15:00,2026-06-16 14:16:56,anonymous,,,5,8,5,7,4,5,男性,Apple (iOS)
38,2026-06-16 14:20:00,2026-06-16 14:25:06,anonymous,,,5,6,4,5,1,2,女性,Apple (iOS)
39,2026-06-16 14:24:00,2026-06-16 14:30:03,anonymous,,,5,9,6,9,3,5,男性,Android
40,2026-06-16 14:28:00,2026-06-16 14:31:02,anonymous,,,6,9,6,6,3,4,男性,Android
41,2026-06-16 14:44:00,2026-06-16 14:47:08,anonymous,,,5,8,4,10,3,3,男性,Apple (iOS)
42,2026-06-16 14:48:00,2026-06-16 14:53:14,anonymous,,,5,8,4,6,5,3,男性,Android
43,2026-06-16 14:53:00,2026-06-16 14:54:47,anonymous,,,6,8,6,8,3,5,男性,Apple (iOS)
44,2026-06-16 14:55:00,2026-06-16 15:00:06,anonymous,,,6,10,4,10,3,4,男性,Apple (iOS)
45,2026-06-16 14:59:00,2026-06-16 15:00:36,anonymous,,,5,9,4,7,5,3,女性,Apple (iOS)
46,2026-06-16 15:09:00,2026-06-16 15:11:12,anonymous,,,5,6,6,5,3,1,女性,Apple (iOS)
47,2026-06-16 15:11:00,2026-06-16 15:13:10,anonymous,,,4,8,4,7,3,3,男性,Android
48,2026-06-16 15:50:00,2026-06-16 15:55:12,anonymous,,,7,9,7,9,5,4,男性,Android
49,2026-06-16 16:16:00,2026-06-16 16:21:25,anonymous,,,5,8,4,8,4,5,男性,Apple (iOS)
50,2026-06-16 16:19:00,2026-06-16 16:25:11,anonymous,,,5,10,5,8,4,5,女性,Android
51,2026-06-16 16:24:00,2026-06-16 16:27:13,anonymous,,,5,8,5,7,4,5,男性,Android
52,2026-06-16 16:28:00,2026-06-16 16:29:48,anonymous,,,7,9,6,8,4,5,女性,Android
53,2026-06-16 16:51:00,2026-06-16 16:52:07,anonymous,,,4,6,2,6,4,4,女性,Apple (iOS)
54,2026-06-16 16:56:00,2026-06-16 16:57:46,anonymous,,,6,9,2,8,4,5,男性,Apple (iOS)
55,2026-06-16 17:05:00,2026-06-16 17:09:48,anonymous,,,6,7,3,8,3,3,男性,Apple (iOS)
56,2026-06-16 17:12:00,2026-06-16 17:17:49,anonymous,,,5,9,3,7,2,4,男性,Apple (iOS)
57,2026-06-16 17:12:00,2026-06-16 17:14:35,anonymous,,,6,7,4,7,3,2,男性,Apple (iOS)
58,2026-06-16 17:14:00,2026-06-16 17:15:09,anonymous,,,5,7,5,6,3,3,女性,Apple (iOS)
59,2026-06-16 17:16:00,2026-06-16 17:19:10,anonymous,,,4,7,3,6,1,4,女性,Apple (iOS)
60,2026-06-16 17:16:00,2026-06-16 17:19:29,anonymous,,,5,8,3,7,2,2,女性,Android
61,2026-06-16 17:19:00,2026-06-16 17:24:50,anonymous,,,6,8,5,9,3,7,女性,Apple (iOS)
62,2026-06-16 17:20:00,2026-06-16 17:23:12,anonymous,,,4,6,5,6,4,2,男性,Apple (iOS)
63,2026-06-16 17:21:00,2026-06-16 17:26:03,anonymous,,,5,9,5,8,5,5,女性,Android
64,2026-06-16 17:29:00,2026-06-16 17:32:20,anonymous,,,5,9,3,7,3,3,男性,Apple (iOS)
65,2026-06-16 17:34:00,2026-06-16 17:37:05,anonymous,,,5,7,4,6,4,4,男性,Apple (iOS)
66,2026-06-16 17:45:00,2026-06-16 17:47:27,anonymous,,,6,9,6,8,5,6,男性,Android
67,2026-06-16 17:56:00,2026-06-16 18:02:27,anonymous,,,6,9,6,7,4,4,男性,Apple (iOS)
68,2026-06-16 18:05:00,2026-06-16 18:09:11,anonymous,,,4,5,3,5,2,1,男性,Android
69,2026-06-16 18:11:00,2026-06-16 18:17:05,anonymous,,,6,9,5,7,3,4,女性,Android
70,2026-06-16 18:41:00,2026-06-16 18:43:58,anonymous,,,5,8,4,9,5,4,女性,Apple (iOS)
71,2026-06-16 18:41:00,2026-06-16 18:43:35,anonymous,,,6,6,5,4,1,3,女性,Apple (iOS)
72,2026-06-16 18:45:00,2026-06-16 18:51:30,anonymous,,,6,7,4,7,5,6,男性,Apple (iOS)
73,2026-06-16 18:58:00,2026-06-16 19:01:36,anonymous,,,7,9,5,8,5,4,男性,Android
74,2026-06-16 19:00:00,2026-06-16 19:05:32,anonymous,,,6,10,5,9,5,5,男性,Apple (iOS)
75,2026-06-16 19:17:00,2026-06-16 19:18:24,anonymous,,,6,6,5,7,3,5,女性,Apple (iOS)
76,2026-06-16 19:19:00,2026-06-16 19:22:39,anonymous,,,7,9,5,8,2,6,男性,Apple (iOS)
77,2026-06-16 19:22:00,2026-06-16 19:27:17,anonymous,,,5,8,5,8,4,4,男性,Android
78,2026-06-16 19:26:00,2026-06-16 19:27:41,anonymous,,,6,8,7,8,2,5,男性,Apple (iOS)
79,2026-06-16 19:29:00,2026-06-16 19:32:11,anonymous,,,5,7,5,10,3,6,女性,Android
80,2026-06-16 19:29:00,2026-06-16 19:33:04,anonymous,,,5,8,3,8,4,3,男性,Apple (iOS)
81,2026-06-16 19:36:00,2026-06-16 19:39:56,anonymous,,,5,10,7,7,3,6,女性,Apple (iOS)
82,2026-06-16 19:37:00,2026-06-16 19:41:07,anonymous,,,5,10,5,10,4,5,男性,Apple (iOS)
83,2026-06-16 19:58:00,2026-06-16 20:03:24,anonymous,,,4,5,6,5,2,1,男性,Android
84,2026-06-16 20:09:00,2026-06-16 20:12:57,anonymous,,,7,8,6,5,4,4,男性,Apple (iOS)
85,2026-06-16 20:17:00,2026-06-16 20:18:17,anonymous,,,5,9,4,8,3,4,男性,Android
86,2026-06-16 20:18:00,2026-06-16 20:19:50,anonymous,,,6,10,6,9,5,7,男性,Android
87,2026-06-16 20:24:00,2026-06-16 20:27:11,anonymous,,,4,10,5,7,4,4,女性,Apple (iOS)
88,2026-06-16 20:35:00,2026-06-16 20:40:04,anonymous,,,6,7,4,9,4,4,男性,Android
89,2026-06-16 20:37:00,2026-06-16 20:41:25,anonymous,,,5,8,5,6,3,3,男性,Android
90,2026-06-16 20:57:00,2026-06-16 21:01:03,anonymous,,,7,10,7,10,4,5,男性,Apple (iOS)
91,2026-06-16 20:58:00,2026-06-16 21:01:49,anonymous,,,5,9,4,8,4,5,男性,Apple (iOS)
92,2026-06-16 21:04:00,2026-06-16 21:06:43,anonymous,,,6,6,4,8,3,4,女性,Android
93,2026-06-16 21:15:00,2026-06-16 21:21:08,anonymous,,,5,8,6,8,5,5,女性,Android
94,2026-06-16 21:16:00,2026-06-16 21:20:39,anonymous,,,4,6,4,6,3,4,女性,Android
95,2026-06-16 21:30:00,2026-06-16 21:32:09,anonymous,,,5,7,4,6,3,4,女性,Apple (iOS)
96,2026-06-16 21:40:00,2026-06-16 21:45:22,anonymous,,,6,9,6,7,4,5,女性,Android
97,2026-06-16 21:58:00,2026-06-16 22:01:22,anonymous,,,5,6,3,6,2,6,男性,Apple (iOS)
98,2026-06-16 22:13:00,2026-06-16 22:18:23,anonymous,,,7,8,4,7,5,3,男性,Android
99,2026-06-16 22:15:00,2026-06-16 22:19:21,anonymous,,,5,6,4,7,1,4,男性,Android
100,2026-06-16 22:16:00,2026-06-16 22:17:59,anonymous,,,5,8,5,6,3,4,男性,Android
