ID,開始時刻,完了時刻,メール,名前,最終変更時刻,"【設問1】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 標準
・製品B：価格 6万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【設問2】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 8万円 ｜ OS Android ｜ カメラ 高性能
・製品B：価格 6万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 8万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【設問3】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 高性能
・製品B：価格 10万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 標準","【設問4】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 高性能
・製品B：価格 8万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 10万円 ｜ OS Android ｜ カメラ 標準","【設問5】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 8万円 ｜ OS Android ｜ カメラ 高性能
・製品B：価格 8万円 ｜ OS Apple (iOS) ｜ カメラ 標準
・製品C：価格 10万円 ｜ OS Android ｜ カメラ 高性能","【設問6】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 8万円 ｜ OS Apple (iOS) ｜ カメラ 高性能
・製品B：価格 10万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 6万円 ｜ OS Android ｜ カメラ 高性能",あなたの性別を教えてください。,現在使っているスマートフォンのOSはどちらですか？
43,2026-06-18 13:59:00,2026-06-18 14:03:40,anonymous,,,製品A,製品C,製品C,製品A,製品B,製品A,男性,Apple (iOS)
44,2026-06-18 14:06:00,2026-06-18 14:07:47,anonymous,,,製品A,製品A,製品C,製品A,製品A,製品B,男性,Apple (iOS)
45,2026-06-18 14:07:00,2026-06-18 14:10:55,anonymous,,,製品C,製品C,製品C,製品A,製品B,製品A,女性,Apple (iOS)
46,2026-06-18 14:16:00,2026-06-18 14:22:12,anonymous,,,製品C,製品B,製品A,製品A,製品A,製品C,女性,Apple (iOS)
47,2026-06-18 14:30:00,2026-06-18 14:33:40,anonymous,,,製品B,製品C,製品C,製品A,製品A,製品C,男性,Android
48,2026-06-18 14:50:00,2026-06-18 14:56:07,anonymous,,,製品B,製品B,製品C,製品A,製品B,製品A,男性,Android
49,2026-06-18 14:59:00,2026-06-18 15:01:32,anonymous,,,製品A,製品C,製品A,製品A,製品B,製品B,男性,Apple (iOS)
50,2026-06-18 15:16:00,2026-06-18 15:21:34,anonymous,,,製品A,製品C,製品A,製品A,製品A,製品A,女性,Android
51,2026-06-18 15:17:00,2026-06-18 15:19:14,anonymous,,,製品A,製品B,製品A,製品A,製品B,製品C,男性,Android
52,2026-06-18 15:18:00,2026-06-18 15:19:44,anonymous,,,製品A,製品B,製品C,製品A,製品A,製品A,女性,Android
53,2026-06-18 15:44:00,2026-06-18 15:47:03,anonymous,,,製品C,製品C,製品C,製品A,製品C,製品A,女性,Apple (iOS)
54,2026-06-18 15:47:00,2026-06-18 15:48:11,anonymous,,,製品A,製品C,製品A,製品B,製品B,製品C,男性,Apple (iOS)
55,2026-06-18 16:10:00,2026-06-18 16:13:42,anonymous,,,製品A,製品C,製品C,製品B,製品A,製品A,男性,Apple (iOS)
56,2026-06-18 16:14:00,2026-06-18 16:18:02,anonymous,,,製品B,製品C,製品C,製品A,製品C,製品A,男性,Apple (iOS)
57,2026-06-18 16:18:00,2026-06-18 16:19:45,anonymous,,,製品B,製品B,製品C,製品A,製品A,製品A,男性,Apple (iOS)
58,2026-06-18 16:20:00,2026-06-18 16:21:31,anonymous,,,製品B,製品A,製品A,製品A,製品B,製品C,女性,Apple (iOS)
59,2026-06-18 16:43:00,2026-06-18 16:47:34,anonymous,,,製品A,製品B,製品C,製品A,製品B,製品A,女性,Apple (iOS)
60,2026-06-18 16:45:00,2026-06-18 16:51:08,anonymous,,,製品B,製品B,製品C,製品A,製品A,製品A,女性,Android
61,2026-06-18 16:47:00,2026-06-18 16:52:29,anonymous,,,製品A,製品C,製品C,製品A,製品B,製品A,女性,Apple (iOS)
62,2026-06-18 16:54:00,2026-06-18 16:58:53,anonymous,,,製品A,製品A,製品B,製品B,製品A,製品C,男性,Apple (iOS)
63,2026-06-18 16:57:00,2026-06-18 17:01:28,anonymous,,,製品C,製品C,製品A,製品A,製品B,製品A,女性,Android
64,2026-06-18 17:15:00,2026-06-18 17:17:20,anonymous,,,製品A,製品C,製品C,製品A,製品B,製品C,男性,Apple (iOS)
65,2026-06-18 17:21:00,2026-06-18 17:25:21,anonymous,,,製品A,製品C,製品B,製品A,製品B,製品A,男性,Apple (iOS)
66,2026-06-18 17:30:00,2026-06-18 17:34:37,anonymous,,,製品A,製品C,製品C,製品A,製品B,製品A,男性,Android
67,2026-06-18 17:43:00,2026-06-18 17:44:08,anonymous,,,製品A,製品A,製品C,製品A,製品A,製品A,男性,Apple (iOS)
68,2026-06-18 17:45:00,2026-06-18 17:50:25,anonymous,,,製品B,製品C,製品A,製品A,製品A,製品C,男性,Android
69,2026-06-18 18:04:00,2026-06-18 18:07:38,anonymous,,,製品A,製品B,製品A,製品A,製品A,製品A,女性,Android
70,2026-06-18 18:05:00,2026-06-18 18:08:41,anonymous,,,製品A,製品C,製品A,製品C,製品A,製品A,女性,Apple (iOS)
71,2026-06-18 18:07:00,2026-06-18 18:11:14,anonymous,,,製品A,製品C,製品C,製品C,製品B,製品C,女性,Apple (iOS)
72,2026-06-18 18:11:00,2026-06-18 18:15:54,anonymous,,,製品C,製品C,製品C,製品B,製品C,製品A,男性,Apple (iOS)
73,2026-06-18 18:16:00,2026-06-18 18:22:24,anonymous,,,製品C,製品C,製品A,製品A,製品C,製品A,男性,Android
74,2026-06-18 18:27:00,2026-06-18 18:29:21,anonymous,,,製品B,製品C,製品C,製品A,製品B,製品A,男性,Apple (iOS)
75,2026-06-18 18:58:00,2026-06-18 19:01:29,anonymous,,,製品C,製品C,製品C,製品A,製品B,製品A,女性,Apple (iOS)
76,2026-06-18 19:09:00,2026-06-18 19:14:36,anonymous,,,製品A,製品A,製品A,製品A,製品B,製品C,男性,Apple (iOS)
77,2026-06-18 19:11:00,2026-06-18 19:16:56,anonymous,,,製品B,製品B,製品C,製品A,製品B,製品A,男性,Android
78,2026-06-18 19:15:00,2026-06-18 19:20:15,anonymous,,,製品A,製品B,製品A,製品A,製品B,製品A,男性,Apple (iOS)
79,2026-06-18 19:37:00,2026-06-18 19:42:37,anonymous,,,製品A,製品C,製品B,製品A,製品C,製品A,女性,Android
80,2026-06-18 19:39:00,2026-06-18 19:40:21,anonymous,,,製品A,製品B,製品C,製品A,製品A,製品C,男性,Apple (iOS)
81,2026-06-18 19:44:00,2026-06-18 19:50:17,anonymous,,,製品B,製品C,製品C,製品A,製品B,製品A,女性,Apple (iOS)
82,2026-06-18 19:48:00,2026-06-18 19:54:21,anonymous,,,製品A,製品A,製品A,製品A,製品B,製品A,男性,Apple (iOS)
83,2026-06-18 19:48:00,2026-06-18 19:50:37,anonymous,,,製品A,製品C,製品A,製品B,製品B,製品C,男性,Android
84,2026-06-18 19:58:00,2026-06-18 20:03:49,anonymous,,,製品A,製品B,製品C,製品A,製品A,製品C,男性,Apple (iOS)
85,2026-06-18 20:01:00,2026-06-18 20:04:43,anonymous,,,製品B,製品A,製品A,製品A,製品B,製品C,男性,Android
86,2026-06-18 20:11:00,2026-06-18 20:16:12,anonymous,,,製品A,製品C,製品A,製品A,製品A,製品A,男性,Android
87,2026-06-18 20:15:00,2026-06-18 20:20:44,anonymous,,,製品A,製品A,製品C,製品A,製品B,製品A,女性,Apple (iOS)
88,2026-06-18 20:37:00,2026-06-18 20:40:09,anonymous,,,製品C,製品C,製品C,製品A,製品B,製品A,男性,Android
89,2026-06-18 20:39:00,2026-06-18 20:42:45,anonymous,,,製品A,製品A,製品C,製品A,製品B,製品A,男性,Android
90,2026-06-18 20:42:00,2026-06-18 20:47:10,anonymous,,,製品C,製品B,製品C,製品A,製品B,製品A,男性,Apple (iOS)
91,2026-06-18 20:43:00,2026-06-18 20:47:47,anonymous,,,製品A,製品C,製品C,製品C,製品B,製品A,男性,Apple (iOS)
92,2026-06-18 20:57:00,2026-06-18 21:02:09,anonymous,,,製品B,製品C,製品C,製品A,製品B,製品C,女性,Android
93,2026-06-18 20:59:00,2026-06-18 21:00:39,anonymous,,,製品B,製品A,製品A,製品A,製品A,製品A,女性,Android
94,2026-06-18 21:09:00,2026-06-18 21:12:36,anonymous,,,製品C,製品C,製品A,製品A,製品B,製品A,女性,Android
95,2026-06-18 21:24:00,2026-06-18 21:26:02,anonymous,,,製品B,製品B,製品B,製品C,製品A,製品C,女性,Apple (iOS)
96,2026-06-18 21:37:00,2026-06-18 21:40:38,anonymous,,,製品C,製品C,製品B,製品A,製品C,製品C,女性,Android
97,2026-06-18 21:45:00,2026-06-18 21:51:17,anonymous,,,製品A,製品A,製品C,製品A,製品B,製品A,男性,Apple (iOS)
98,2026-06-18 21:52:00,2026-06-18 21:53:07,anonymous,,,製品B,製品C,製品C,製品A,製品C,製品C,男性,Android
99,2026-06-18 22:07:00,2026-06-18 22:11:28,anonymous,,,製品A,製品B,製品C,製品A,製品B,製品A,男性,Android
100,2026-06-18 22:09:00,2026-06-18 22:12:25,anonymous,,,製品A,製品B,製品C,製品B,製品A,製品C,男性,Android
